symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,EU.C021.C1,EU.C021.C2,EU.C021.C3,EU.C021.C4,EU.C021.C5,EU.C021.C6,EU.C021.C7,EU.C021.C8,EU.C021.C9,EU.C021.C10,EU.C21.ES_c21
MOSMO,482.2394416261912,-0.1762733495933478,0.1585785134518094,0.11402846892817674,0.34543675148089537,533,517,772,595,472,456,490,531,446,331,252
MOSPD1,1656.7903994968374,0.10732943877615529,0.10308688428463009,0.201001720029712,0.4781773359532884,1262,1672,2542,1724,2060,1749,1904,1937,1883,1487,181
MOSPD2,774.7894662998973,-0.04276732630627127,0.12943564280340125,0.6600222353957752,0.8517041179782577,745,734,1387,776,914,720,903,802,885,610,244
MOSPD3,187.1381965053146,-0.06071661234929496,0.1894220123118814,0.5950888363362378,0.8174476838994098,166,169,349,186,238,177,73,190,130,121,305
MOV10,1502.0125411908898,-0.6008840752937642,0.1711839876733898,1.445056678769705e-5,3.5961734577627465e-4,1179,1898,2467,2180,1745,1358,1046,1607,1150,1179,978
MOV10L1,15.16437020575343,0.09094043762269598,0.35584710477485515,0.42195343564152993,0.7001477294582485,31,6,19,6,28,11,10,39,3,17,5
MOXD1,321.57131383126756,-0.07470756042607495,0.17235590391099573,0.5028608380031065,0.7578312520736348,634,307,426,372,395,267,337,372,307,165,110
MPC1,462.0270980273935,0.05027441678997501,0.13977152121937944,0.6200971415009577,0.8309533841888967,396,436,644,392,839,587,457,503,426,352,164
MPC2,692.5905023700117,-0.04996612876332957,0.14972257783686796,0.6335768528028987,0.8378447998814288,470,548,1010,750,1050,813,536,744,483,564,756
MPDU1,718.6393274962919,-0.10686499494666257,0.14805904554789692,0.310982706202421,0.6005905620632069,983,514,1072,889,814,705,531,765,647,576,565
MPDU1-AS1,32.33394216281352,-0.13921341490627723,0.39636041828218715,0.24234865954618928,0.5274684459205251,38,31,25,13,32,19,5,10,6,27,70
MPDZ,3244.4620017890975,-0.007092964697743679,0.13565496531766022,0.9432292727318511,0.9793204553960543,4312,3171,4662,3018,3841,2818,2876,3443,3265,2614,2147
MPG,334.2328937323341,-0.16219987500423871,0.19019344706623637,0.17711721038824238,0.44611095694858677,272,317,513,379,408,285,166,343,143,232,749
MPHOSPH10,1227.4135988997357,-0.02965848950196669,0.12503446227924692,0.7554430700595263,0.9025750131549778,1510,1143,1933,1261,1806,1213,1152,1121,1276,1061,558
MPHOSPH6,309.62673202126274,0.02881416499930538,0.16074187441170837,0.7888976344595486,0.9163899243357603,410,267,424,223,370,230,262,292,292,250,374
MPHOSPH8,1492.3208313218447,-0.09224797460380196,0.13133022939498337,0.34927579384491825,0.6374693633864297,1657,1674,2495,1515,1884,1450,1189,1788,1557,1260,602
MPHOSPH9,637.0337415955025,-0.23373560520451556,0.2239748526872228,0.07990756797594345,0.27996151281206544,1077,564,977,531,590,458,448,558,571,426,856
MPI,313.1589005856824,-0.043830180864808145,0.20387825875325713,0.7042897587107249,0.8775460969149341,271,231,399,311,286,254,186,303,238,190,498
MPLKIP,367.6377098104659,-0.014214139751178776,0.1635131252123696,0.8954328392456788,0.9585761612614416,330,259,475,415,612,353,278,356,289,246,499
MPND,137.1229563423117,0.04523065195217058,0.19069105255121493,0.6911313117502906,0.8703099520098244,158,81,169,122,128,73,32,126,80,66,390
MPP1,221.10307525305743,-0.06653212708864253,0.18719813393377496,0.5599034632363575,0.7944632158661478,268,175,265,331,309,193,159,216,212,167,170
MPP2,285.7055715029633,0.2131108759658028,0.22740945115990668,0.10738835764820674,0.332438041529432,268,185,151,191,189,135,81,261,178,141,963
MPP3,110.37548533682182,-0.2354649728958919,0.30433188631378866,0.10721988264593701,0.332264074104589,155,83,197,144,130,117,69,96,99,72,53
MPP4,31.8819059507628,0.3951990693628119,0.43388399861821647,0.03123621305232378,0.15309136646542484,80,18,18,19,45,30,39,34,46,27,5
MPP7,448.30857151413153,-0.15419748318748092,0.15940386224249867,0.16457673130213296,0.427280078196575,254,496,925,567,573,449,450,426,546,349,101
MPPE1,589.8357228117992,-0.02035829222129125,0.15766624068237373,0.8487333901813431,0.9410419506151915,651,686,861,698,820,611,446,687,499,482,254
MPPED2,51.29061420168304,0.11352806279171732,0.30187618687490897,0.36420363739862543,0.650958140289442,94,43,41,35,59,16,53,54,68,47,28
MPRIP,4203.943805053789,0.056802621945514754,0.16848120302786085,0.6057283162687223,0.8225263829270614,6407,3808,4593,3603,4602,3311,2806,4390,3421,3244,5276
MPST,747.5047538096547,-0.039348961312458505,0.12671158624420592,0.6819318690443028,0.8652991445375425,895,706,859,693,871,579,379,675,476,534,1911
MPV17,438.2023089143286,-0.15609303805891944,0.15343541250560663,0.1518909817858935,0.4090767119130403,384,346,669,494,525,326,356,384,352,273,655
MPV17L,33.952617801020175,-0.48924126896775916,0.46378195141635065,0.016099272495198203,0.0963492598964683,87,38,70,45,23,25,26,20,22,11,29
MPV17L2,295.6905670141965,-0.12884957357947918,0.1769960780606023,0.26256570297028403,0.5501031503384948,404,257,371,360,340,213,192,233,244,198,417
MPZ,59.20806013019519,-0.5078781307443337,0.5224589941117814,0.01540979874441891,0.09329064739331361,117,37,29,35,30,23,9,20,6,6,307
MPZL1,7255.758350313218,0.08759865549983631,0.14330119319206847,0.3964722076185561,0.680791244738278,6402,6908,10498,6921,8330,6612,8185,7932,7301,6667,3437
MPZL2,76.25104051129031,-0.1704545951726538,0.26193538134072947,0.1995286644114486,0.47691520732069403,18,87,136,156,89,119,92,63,65,58,3
MPZL3,493.310009642492,-0.046489794264503635,0.1795545348206568,0.6781831211890392,0.8627991203128281,249,635,639,624,565,577,498,495,508,408,1
MR1,34.54797556425129,0.4028518484226917,0.45008919378926693,0.029985829233060392,0.14915203352208592,4,43,55,22,50,17,28,35,39,54,24
MRAP2,158.41590854907568,1.517383432238499,0.34925598069324965,1.4771105581868842e-7,6.090072123606072e-6,132,58,105,102,196,177,233,224,329,177,12
